index,number,chapter,title,artist,spotify_url,spotify_uri
0,1,Part I — The Crush,Nice To Meet You,Myles Smith,https://open.spotify.com/track/2gl06oGDmIatJLXusFlqAf,spotify:track:2gl06oGDmIatJLXusFlqAf
1,2,Part I — The Crush,Superman,Joe Brooks,https://open.spotify.com/track/2AHZHeLTPuGILKyr4l8uTU,spotify:track:2AHZHeLTPuGILKyr4l8uTU
2,3,Part I — The Crush,I Won't Say (I'm In Love),a!ka,https://open.spotify.com/track/1gOLlylQkWzriT4HZUhVBK,spotify:track:1gOLlylQkWzriT4HZUhVBK
3,4,Part I — The Crush,How Will I Know,Sam Smith,https://open.spotify.com/track/1I75ohulScHJpoMmE9Xbfl,spotify:track:1I75ohulScHJpoMmE9Xbfl
4,5,Part I — The Crush,Like Me,AJ Rafael,https://open.spotify.com/track/5JJ8C9f06xhUrVRk44maoI,spotify:track:5JJ8C9f06xhUrVRk44maoI
5,6,Part II — Falling Hard,Mandy,Andrew Arcadi,https://open.spotify.com/track/6m9mdoawCitwN8XKjpsBKb,spotify:track:6m9mdoawCitwN8XKjpsBKb
6,7,Part II — Falling Hard,Kiss Me Slowly,Parachute,https://open.spotify.com/track/72R0X0h8YaxYNpegeoOl0M,spotify:track:72R0X0h8YaxYNpegeoOl0M
7,8,Part II — Falling Hard,Adorn,Miguel,https://open.spotify.com/track/25cUhiAod71TIQSNicOaW3,spotify:track:25cUhiAod71TIQSNicOaW3
8,9,Part II — Falling Hard,Just Like You,Emotional Oranges,https://open.spotify.com/track/0sYfwwEy0UyNizk6na4zGm,spotify:track:0sYfwwEy0UyNizk6na4zGm
9,10,Part II — Falling Hard,LOVE YOU FOR LIFE.,Loud Luxury & Emily Roberts,https://open.spotify.com/track/3acMyDFxlQ2O5l3c9pJeQ4,spotify:track:3acMyDFxlQ2O5l3c9pJeQ4
10,11,Part II — Falling Hard,Let Me,ZAYN,https://open.spotify.com/track/0aVsVsOYDSEEigiwTrIab9,spotify:track:0aVsVsOYDSEEigiwTrIab9
11,12,Part II — Falling Hard,愛とか恋とか,Novelbright,https://open.spotify.com/track/4McP7SOTK2NWkydOcDCajC,spotify:track:4McP7SOTK2NWkydOcDCajC
12,13,Part II — Falling Hard,I GUESS I'M IN LOVE,Clinton Kane,https://open.spotify.com/track/1dB1kzLOjTcmSHttRd8bnV,spotify:track:1dB1kzLOjTcmSHttRd8bnV
13,14,Part II — Falling Hard,I Was Made For Loving You,Tori Kelly & Ed Sheeran,https://open.spotify.com/track/1Xwh83YOFQARZ3QXscP123,spotify:track:1Xwh83YOFQARZ3QXscP123
14,15,Part II — Falling Hard,I Knew I Loved You,Music Travel Love,https://open.spotify.com/track/3J4eGb9Ufadl5eNUgktO9t,spotify:track:3J4eGb9Ufadl5eNUgktO9t
15,16,Part III — You’re My Person,Better Together,Jack Johnson,https://open.spotify.com/track/2iXdwVdzA0KrI2Q0iZNJbX,spotify:track:2iXdwVdzA0KrI2Q0iZNJbX
16,17,Part III — You’re My Person,You & Me,James TW,https://open.spotify.com/track/1bQhZOoXYqjXs7u7rFXo0h,spotify:track:1bQhZOoXYqjXs7u7rFXo0h
17,18,Part III — You’re My Person,Please Keep Loving Me,James TW,https://open.spotify.com/track/78zUxUPvONPgMIt46q5be6,spotify:track:78zUxUPvONPgMIt46q5be6
18,19,Part III — You’re My Person,I Love You Always Forever,Betty Who,https://open.spotify.com/track/1p6rk9R8SCum97WnvGNt6O,spotify:track:1p6rk9R8SCum97WnvGNt6O
19,20,Part III — You’re My Person,Bloom - Bonus Track,The Paper Kites,https://open.spotify.com/track/1HMQmOWrkieKYWlFsjUP3D,spotify:track:1HMQmOWrkieKYWlFsjUP3D
20,21,Part IV — Building a Life,Grow as We Go,Ben Platt & Sara Bareilles,https://open.spotify.com/track/1xscBC6UV21t0sMCgu0mLi,spotify:track:1xscBC6UV21t0sMCgu0mLi
21,22,Part IV — Building a Life,Palagi,TJ Monterde & KZ Tandingan,https://open.spotify.com/track/4WgViu9gw3qYOr3iF9OuLG,spotify:track:4WgViu9gw3qYOr3iF9OuLG
22,23,Part IV — Building a Life,Whole Lives,Jake Scott,https://open.spotify.com/track/1hzWoLgh1yQ4H9fqIvOFMP,spotify:track:1hzWoLgh1yQ4H9fqIvOFMP
23,24,Part IV — Building a Life,Carry You Home,Alex Warren & Ella Henderson,https://open.spotify.com/track/2yCte16wVT6slIJ2Tqm9ML,spotify:track:2yCte16wVT6slIJ2Tqm9ML
24,25,Part IV — Building a Life,Dandelion Hair (feat. Melissa Polinar),Joe Brooks & Melissa Polinar,https://open.spotify.com/track/416dC1qBvWJcbgub6zCnJI,spotify:track:416dC1qBvWJcbgub6zCnJI
25,26,Part V — Detours & Distance,Canada (feat. Alessia Cara),LAUV & Alessia Cara,https://open.spotify.com/track/6Rf3dWdNQs5LTqFOiavqQr,spotify:track:6Rf3dWdNQs5LTqFOiavqQr
26,27,Part V — Detours & Distance,When The Sun Goes Down,Leslie Grace & Corey Hawkins,https://open.spotify.com/track/322nU6eXT4j7dj5ytj73SX,spotify:track:322nU6eXT4j7dj5ytj73SX
27,28,Part V — Detours & Distance,Would You Fall in Love with Me Again,Jorge Rivera-Herrans & Anna Lea,https://open.spotify.com/track/3iYeXCdD3d0zlex2v0CpVt,spotify:track:3iYeXCdD3d0zlex2v0CpVt
28,29,Part VI — Forever,The Book of Love,Gavin James,https://open.spotify.com/track/4HcSK64Cy7JJ5gv1Txzhzo,spotify:track:4HcSK64Cy7JJ5gv1Txzhzo
29,30,Part VI — Forever,Marry Me,Train,https://open.spotify.com/track/2MWOqewf5j0qf2b6S5J6cS,spotify:track:2MWOqewf5j0qf2b6S5J6cS
30,31,Part VI — Forever,Make You Mine,Us The Duo,https://open.spotify.com/track/1ZWFt1f25IDDHsyx2rlcSV,spotify:track:1ZWFt1f25IDDHsyx2rlcSV
31,32,Part VI — Forever,Never Stop (Wedding Version),SafetySuit,https://open.spotify.com/track/5himtcBG5IetEOAYuB1Lu1,spotify:track:5himtcBG5IetEOAYuB1Lu1
32,33,Part VI — Forever,Ordinary - Wedding Version,Alex Warren,https://open.spotify.com/track/4t6qMeHgbxWod2SLokiSQp,spotify:track:4t6qMeHgbxWod2SLokiSQp
33,34,Part VI — Forever,115 Million Kilometer Film,OFFICIAL HIGE DANDISM,https://open.spotify.com/track/4mdOqt3AiUJbBXL02aa5iw,spotify:track:4mdOqt3AiUJbBXL02aa5iw
34,35,Part VI — Forever,Imagine - Acoustic,Ben Platt,https://open.spotify.com/track/3m9MKNTdPmsKJRqrhqQnhW,spotify:track:3m9MKNTdPmsKJRqrhqQnhW
